path,ext,words,status,reason
tex/BCT_Letter27_GPAxiom.tex,.tex,872,SKIPPED,not yet read
tex/BCT_Letter28_ProtonMass.tex,.tex,1737,SKIPPED,not yet read
tex/BCT_Letter28_ProtonMass_tex.tex,.tex,1740,SKIPPED,not yet read
tex/BCT_Letter29_NLO_KPN.tex,.tex,1866,SKIPPED,not yet read
tex/BCT_Letter29_NLO_KPN_tex.tex,.tex,1858,SKIPPED,not yet read
tex/BCT_Letter30_DeltamN.tex,.tex,1227,SKIPPED,not yet read
tex/BCT_Letter30_DeltamN_tex.tex,.tex,1243,SKIPPED,not yet read
tex/BCT_Letter31_ElectronMass.tex,.tex,1307,SKIPPED,not yet read
tex/BCT_Letter31_ElectronMass_tex.tex,.tex,1344,SKIPPED,not yet read
tex/BCT_Letter36_D4Qubit (1).tex,.tex,1127,SKIPPED,not yet read
tex/BCT_Letter36_D4Qubit.tex,.tex,1135,SKIPPED,not yet read
tex/BCT_Letter36_OHC_tex.tex,.tex,1137,SKIPPED,not yet read
tex/BCT_Letter37_NewtonsConstant (1).tex,.tex,1013,SKIPPED,not yet read
tex/BCT_Letter37_NewtonsConstant.tex,.tex,1020,SKIPPED,not yet read
tex/BCT_Letter38_DarkMatter (1).tex,.tex,904,SKIPPED,not yet read
tex/BCT_Letter38_DarkMatter.tex,.tex,904,SKIPPED,not yet read
tex/BCT_Letter39_Addendum_Indium.tex,.tex,1854,SKIPPED,not yet read
tex/BCT_Letter39_TopologicalSemimetal (1).tex,.tex,929,SKIPPED,not yet read
tex/BCT_Letter39_TopologicalSemimetal.tex,.tex,934,SKIPPED,not yet read
tex/BCT_Letter40_Inflation (1).tex,.tex,1078,SKIPPED,not yet read
tex/BCT_Letter40_Inflation.tex,.tex,1084,SKIPPED,not yet read
tex/BCT_Letter59.tex,.tex,1086,SKIPPED,not yet read
tex/BCT_Letter60.tex,.tex,977,SKIPPED,not yet read
tex/BCT_Letter62.tex,.tex,476,SKIPPED,not yet read
tex/BCT_Letter64.tex,.tex,1671,SKIPPED,not yet read
tex/BCT_Letter65.tex,.tex,1804,SKIPPED,not yet read
tex/BCT_Letter67.tex,.tex,2027,SKIPPED,not yet read
tex/BCT_Letter68.tex,.tex,2218,SKIPPED,not yet read
tex/BCT_Letter69.tex,.tex,2895,SKIPPED,not yet read
tex/BCT_Letter70_CosmicPersistence.tex,.tex,1902,SKIPPED,not yet read
tex/BCT_Letter71_Baryogenesis.tex,.tex,1199,SKIPPED,not yet read
tex/BCT_Letter72_Measurement.tex,.tex,1290,SKIPPED,not yet read
tex/BCT_Letter72_MeasurementProblem.tex,.tex,1437,SKIPPED,not yet read
tex/BCT_Letter73_GravitationalWaves.tex,.tex,1273,SKIPPED,not yet read
tex/BCT_Letter74_CosmicExhale.tex,.tex,1146,SKIPPED,not yet read
tex/BCT_Letter75_UnreasonableSimplicity.tex,.tex,1198,SKIPPED,not yet read
tex/BCT_Letter76_DarkEnergy.tex,.tex,963,SKIPPED,not yet read
tex/BCT_Letter77_ArrowOfTime.tex,.tex,934,SKIPPED,not yet read
tex/BCT_Letter78_AtomicStructure.tex,.tex,957,SKIPPED,not yet read
tex/BCT_Letter80_MolecularGeometry.tex,.tex,738,SKIPPED,not yet read
tex/BCT_Letter81_TwoTheorems.tex,.tex,883,SKIPPED,not yet read
tex/BCT_Letter82_Carbon.tex,.tex,779,SKIPPED,not yet read
tex/BCT_Letter83_TransitionMetals.tex,.tex,850,SKIPPED,not yet read
tex/BCT_Letter84_PeriodicTable.tex,.tex,875,SKIPPED,not yet read
tex/BCT_Letter85_Electronegativity.tex,.tex,1006,SKIPPED,not yet read
tex/BCT_Letter88_ThreeDimensions (1).tex,.tex,1950,SKIPPED,not yet read
tex/BCT_Letter88_ThreeDimensions.tex,.tex,1948,SKIPPED,not yet read
tex/BCT_Letters_Vol2b.tex,.tex,587,SKIPPED,not yet read
tex/BCT_Letters_Vol3.tex,.tex,1137,SKIPPED,not yet read
tex/BCT_Monograph_PLB.tex,.tex,8679,SKIPPED,not yet read
tex/BCT_PRL_Letter.tex,.tex,1441,SKIPPED,not yet read
tools/download_zenodo_BCT_v6.py,.py,254,SKIPPED,not yet read
