key,times_cited,resolved
eq:SQP_GB,1,Y
eq:SBCT_full,1,Y
gross86,1,N
metsaev87,1,N
tab:GB_compare,1,Y
wald93,1,N
cmb,1,N
eq:resumm,1,Y
strongcp,1,N
fieldequations,1,N
eq:mpBCT,1,Y
prl_letter,1,N
eq:mp_final,1,Y
eq:mKLO,1,Y
eq:mK_lo,1,Y
pdg2022,1,N
eq:FupgradE,1,Y
eq:DmLO,1,Y
letter29,1,N
eq:F_upgrade,1,Y
eq:dm_LO,1,Y
tab:prog,1,Y
eq:Zinst,1,Y
tab:hierarchy,1,Y
eq:Z,1,Y
Bott1958,1,N
Letter19,1,N
Letter34,1,N
aflow_indium,1,N
tab:bct_candidates,1,Y
crystal_structure_indium,1,N
L35,1,N
LHAASO21,1,N
LHAASO22,1,N
BCT_JH,1,N
BCT_L51,1,N
bct22,1,N
az2,1,N
barandes2023,1,N
barandes2025,1,N
barandes2026,1,N
zurek2009,1,N
bct36,1,N
sabine2026,1,N
ogawa2014,1,N
hashimoto2016,1,N
almulla2021,1,N
schwarcz2012,1,N
hayaishi1976,1,N
erhardt2017,1,N
zhang2007,1,N
lewis2006,1,N
suess2017,1,N
metz2014,1,N
jumper2021,1,N
alphafold3,1,N
bct4,1,N
caspar1962,1,N
bct67,1,N
bct64,1,N
robitaille2013,1,N
eq:core,1,Y
eq:web,1,Y
BCT_L53,1,N
KhlebShap1988,1,N
BCT_AppJ,1,N
GW150914,1,N
GWTC3,1,N
GW250114,1,N
GW170817,1,N
GWMemory,1,N
ET,1,N
LISA,1,N
DESI2024,1,N
Euclid2024,1,N
White2026,1,N
eq:bat,1,Y
eq:chi,1,Y
sec:uniqueness,1,Y
part:foundations,1,Y
part:hadrons,1,Y
part:cosmology,1,Y
part:fields,1,Y
part:global,1,Y
app:notation,1,Y
app:index,1,Y
BCTletter,1,N
sec:D4_lattice,1,Y
KorkinZolotarev,1,N
eq:STd,1,Y
Koide1983,1,N
Jarlskog1985,1,N
Abel2020,1,N
n2EDM,1,N
PQ1977,1,N
tab:global,1,Y
BCTcompanion,1,N
